a|/ə/
astrophysicist|/ˌæstrəʊˈfɪzɪsɪst/
astrophysics|/ˌæstrəʊˈfɪzɪks/
astute|/əˈstjuːt/
astutely|/əˈstjuːtli/
astuteness|/əˈstjuːtnəs/
asunder|/əˈsʌndə(r)/
at|/ət/
atavistic|/ˌætəˈvɪstɪk/
ataxia|/əˈtæksiə/
ataxic|/əˈtæksɪk/
ate|/et/
atelier|/əˈtelieɪ/
atemporal|/ˌeɪˈtempərəl/
atheism|/ˈeɪθiɪzəm/
atheist|/ˈeɪθiɪst/
atheistic|/ˌeɪθiˈɪstɪk/
athlete|/ˈæθliːt/
athletic|/æθˈletɪk/
athletically|/æθˈletɪkli/
athleticism|/æθˈletɪsɪzəm/
athletics|/æθˈletɪks/
athwart|/əˈθwɔːt/
atypical|/ˌeɪˈtɪpɪkl/
atlanta|/ətˈlæntə/
atlantis|/ætˈlæntɪs/
atlas|/ˈætləs/
atm|/ˌeɪ tiː ˈem/
atmosphere|/ˈætməsfɪə(r)/
atmospheric|/ˌætməsˈferɪk/
atmospherics|/ˌætməsˈferɪks/
atoll|/ˈætɒl/
atom|/ˈætəm/
atomic|/əˈtɒmɪk/
atomicity|/ˌætəˈmɪsəti/
atomism|/ˈætəmɪzəm/
atomistic|/ˌætəˈmɪstɪk/
atomize|/ˈætəmaɪz/
atomizer|/ˈætəmaɪzə(r)/
atonal|/eɪˈtəʊnl/
atonality|/ˌeɪtəʊˈnæləti/
atone|/əˈtəʊn/
atonement|/əˈtəʊnmənt/
atonic|/eɪˈtɒnɪk/
atop|/əˈtɒp/
atopic|/eɪˈtɒpɪk/
atrium|/ˈeɪtriəm/
atrocious|/əˈtrəʊʃəs/
atrociously|/əˈtrəʊʃəsli/
atrocity|/əˈtrɒsəti/
atrophy|/ˈætrəfi/
atrophied|/ˈætrəfid/
attaboy|/ˈætəbɔɪ/
attach|/əˈtætʃ/
attache|/əˈtæʃeɪ/
attached|/əˈtætʃt/
attachment|/əˈtætʃmənt/
attack|/əˈtæk/
attacker|/əˈtækə(r)/
attagirl|/ˈætəɡɜːl/
attain|/əˈteɪn/
attainable|/əˈteɪnəbl/
attainment|/əˈteɪnmənt/
attar|/ˈætə(r)/
attempt|/əˈtempt/
attempted|/əˈtemptɪd/
attend|/əˈtend/
attendance|/əˈtendəns/
attendant|/əˈtendənt/
attendee|/əˌtenˈdiː/
attender|/əˈtendə(r)/
attention|/əˈtenʃn/
attentive|/əˈtentɪv/
attentively|/əˈtentɪvli/
attentiveness|/əˈtentɪvnəs/
attenuate|/əˈtenjueɪt/
attenuated|/əˈtenjueɪtɪd/
attenuation|/əˌtenjuˈeɪʃn/
attenuator|/əˈtenjueɪtə(r)/
attest|/əˈtest/
attic|/ˈætɪk/
attire|/əˈtaɪə(r)/
attired|/əˈtaɪəd/
attitude|/ˈætɪtjuːd/
attitudinal|/ˌætɪˈtjuːdɪnl/
attn|NA
attorney|/əˈtɜːni/
attract|/əˈtrækt/
attractant|/əˈtræktənt/
attraction|/əˈtrækʃn/
attractive|/əˈtræktɪv/
attractively|/əˈtræktɪvli/
attractiveness|/əˈtræktɪvnəs/
attributable|/əˈtrɪbjətəbl/
attribute|/əˈtrɪbjuːt/
attribution|/ˌætrɪˈbjuːʃn/
attributive|/əˈtrɪbjətɪv/
attributively|/əˈtrɪbjətɪvli/
attrition|/əˈtrɪʃn/
attuned|/əˈtjuːnd/
aubade|/əʊˈbɑːd/
aubergine|/ˈəʊbəʒiːn/
auburn|/ˈɔːbən/
auckland|/ˈɔːklənd/
auction|/ˈɔːkʃn/
auctioneer|/ˌɔːkʃəˈnɪə(r)/
audacious|/ɔːˈdeɪʃəs/
audaciously|/ɔːˈdeɪʃəsli/
audacity|/ɔːˈdæsəti/
audibility|/ˌɔːdəˈbɪləti/
audible|/ˈɔːdəbl/
audibly|/ˈɔːdəbli/
audience|/ˈɔːdiəns/
audio|/ˈɔːdiəʊ/
audiology|/ˌɔːdiˈɒlədʒi/
audiologist|/ˌɔːdiˈɒlədʒɪst/
audiometry|/ˌɔːdiˈɒmətri/
audiophile|/ˈɔːdiəʊfaɪl/
audiovisual|/ˌɔːdiəʊˈvɪʒuəl/
audit|/ˈɔːdɪt/
audition|/ɔːˈdɪʃn/
auditor|/ˈɔːdɪtə(r)/
auditory|/ˈɔːdətri/
auditorium|/ˌɔːdɪˈtɔːriəm/
audrey|/ˈɔːdri/
auger|/ˈɔːɡə(r)/
aught|/ɔːt/
augment|/ɔːɡˈment/
augmentation|/ˌɔːɡmenˈteɪʃn/
augur|/ˈɔːɡə(r)/
augury|/ˈɔːɡjəri/
august|/ɔːˈɡʌst/
augusta|/ɔːˈɡʌstə/
augustan|/ɔːˈɡʌstən/
augustus|/ɔːˌɡʌstəs ˈdʒɒn/
auk|/ɔːk/
aunt|/ɑːnt/
auntie|/ˈɑːnti/
aura|/ˈɔːrə/
aural|/ˈɔːrəl/
aurally|/ˈɔːrəli/
aureate|/ˈɔːriət/
aureole|/ˈɔːriəʊl/
auricle|/ˈɔːrɪkl/
aurochs|/ˈɔːrɒks/
auscultation|/ˌɔːskəlˈteɪʃn/
auspices|/ˈɔːspɪsɪz/
auspicious|/ɔːˈspɪʃəs/
auspiciously|/ɔːˈspɪʃəsli/
aussie|/ˈɒzi/
austere|/ɒˈstɪə(r)/
austerely|/ɒˈstɪəli/
austerity|/ɒˈsterəti/
austin|/ˈɒstɪn/
austral|/ˈɒstrəl/
australasian|/ˌɒstrəˈleɪʒn/
australia|/ɒˈstreɪliə/
australian|/ɒˈstreɪliən/
australopithecus|/ˌɒstrələʊˈpɪθɪkəs/
austria|/ˈɒstriə/
austrian|/ˈɒstriən/
autarchy|/ˈɔːtɑːki/
autarchic|/ɔːˈtɑːkɪk/
auteur|/əʊˈtɜː(r)/
authentic|/ɔːˈθentɪk/
authentically|/ɔːˈθentɪkli/
authenticate|/ɔːˈθentɪkeɪt/
authentication|/ɔːˌθentɪˈkeɪʃn/
authenticity|/ˌɔːθenˈtɪsəti/
author|/ˈɔːθə(r)/
authoress|/ˈɔːθəres/
authorial|/ɔːˈθɔːriəl/
authoring|/ˈɔːθərɪŋ/
authoritarian|/ɔːˌθɒrɪˈteəriən/
authoritarianism|/ɔːˌθɒrɪˈteəriənɪzəm/
authoritative|/ɔːˈθɒrətətɪv/
authoritatively|/ɔːˈθɒrətətɪvli/
authority|/ɔːˈθɒrəti/
authorization|/ˌɔːθəraɪˈzeɪʃn/
authorize|/ˈɔːθəraɪz/
authorized|/ˈɔːθəraɪzd/
authorship|/ˈɔːθəʃɪp/
autism|/ˈɔːtɪzəm/
autistic|/ɔːˈtɪstɪk/
auto|/ˈɔːtəʊ/
autobiography|/ˌɔːtəbaɪˈɒɡrəfi/
autobiographical|/ˌɔːtəˌbaɪəˈɡræfɪkl/
autochanger|/ˈɔːtəʊtʃeɪndʒə(r)/
autochthonous|/ɔːˈtɒkθənəs/
autoclave|/ˈɔːtəʊkleɪv/
autocracy|/ɔːˈtɒkrəsi/
autocrat|/ˈɔːtəkræt/
autocratic|/ˌɔːtəˈkrætɪk/
autocratically|/ˌɔːtəˈkrætɪkli/
autocross|/ˈɔːtəʊkrɒs/
autodidact|/ˌɔːtəʊˈdaɪdækt/
autodidactic|/ˌɔːtəʊdaɪˈdæktɪk/
autogenic|/ˌɔːtəʊˈdʒenɪk/
autograph|/ˈɔːtəɡrɑːf/
autohypnosis|/ˌɔːtəʊhɪpˈnəʊsɪs/
autoimmune|/ˌɔːtəʊɪˈmjuːn/
automaker|/ˈɔːtəʊmeɪkə(r)/
automat|/ˈɔːtəmæt/
automate|/ˈɔːtəmeɪt/
automatic|/ˌɔːtəˈmætɪk/
automatically|/ˌɔːtəˈmætɪkli/
automation|/ˌɔːtəˈmeɪʃn/
automatism|/ɔːˈtɒmətɪzəm/
automaton|/ɔːˈtɒmətən/
automobile|/ˈɔːtəməbiːl/
automotive|/ˌɔːtəˈməʊtɪv/
autonomy|/ɔːˈtɒnəmi/
autonomous|/ɔːˈtɒnəməs/
autonomously|/ɔːˈtɒnəməsli/
autopilot|/ˈɔːtəʊpaɪlət/
autopsy|/ˈɔːtɒpsi/
autosuggestion|/ˌɔːtəʊsəˈdʒestʃən/
autotelic|/ˌɔːtəʊˈtelɪk/
autotroph|/ˈɔːtətrəʊf/
autotrophic|/ˌɔːtəˈtrɒfɪk/
autumn|/ˈɔːtəm/
autumnal|/ɔːˈtʌmnəl/
auxiliary|/ɔːɡˈzɪliəri/
auxin|/ˈɔːksɪn/
av|/ˌeɪ ˈviː/
ava|/ˈeɪvə/
avail|/əˈveɪl/
availability|/əˌveɪləˈbɪləti/
available|/əˈveɪləbl/
avalanche|/ˈævəlɑːnʃ/
avalon|/ˈævəlɒn/
avant|/ævɒ̃/
avarice|/ˈævərɪs/
avaricious|/ˌævəˈrɪʃəs/
avast|/əˈvɑːst/
avatar|/ˈævətɑː(r)/
ave|NA
avenge|/əˈvendʒ/
avenger|/əˈvendʒə(r)/
avenue|/ˈævənjuː/
aver|/əˈvɜː(r)/
average|/ˈævərɪdʒ/
averagely|/ˈævərɪdʒli/
averse|/əˈvɜːs/
aversion|/əˈvɜːʃn/
avert|/əˈvɜːt/
avian|/ˈeɪviən/
aviary|/ˈeɪviəri/
aviation|/ˌeɪviˈeɪʃn/
aviator|/ˈeɪvieɪtə(r)/
aviculture|/ˈeɪvɪkʌltʃə(r)/
avid|/ˈævɪd/
avidity|/əˈvɪdəti/
avidly|/ˈævɪdli/
avionic|/ˌeɪviˈɒnɪk/
avionics|/ˌeɪviˈɒnɪks/
avocado|/ˌævəˈkɑːdəʊ/
avocation|/ˌævəˈkeɪʃn/
avocet|/ˈævəset/
avoid|/əˈvɔɪd/
avoidable|/əˈvɔɪdəbl/
avoidance|/əˈvɔɪdəns/
avoirdupois|/ˌævədəˈpɔɪz/
avow|/əˈvaʊ/
avowal|/əˈvaʊəl/
avowed|/əˈvaʊd/
avowedly|/əˈvaʊɪdli/
avuncular|/əˈvʌŋkjələ(r)/
aw|/ɔː/
awacs|/ˈeɪwæks/
away|/əˈweɪ/
await|/əˈweɪt/
awake|/əˈweɪk/
awaken|/əˈweɪkən/
awakening|/əˈweɪkənɪŋ/
award|/əˈwɔːd/
awardee|/əˌwɔːˈdiː/
aware|/əˈweə(r)/
awareness|/əˈweənəs/
awash|/əˈwɒʃ/
awe|/ɔː/
awed|/ɔːd/
awesome|/ˈɔːsəm/
awesomely|/ˈɔːsəmli/
awestruck|/ˈɔːstrʌk/
awful|/ˈɔːfl/
awfully|/ˈɔːfli/
awfulness|/ˈɔːflnəs/
awhile|/əˈwaɪl/
awkward|/ˈɔːkwəd/
awkwardly|/ˈɔːkwədli/
awkwardness|/ˈɔːkwədnəs/
awl|/ɔːl/
awning|/ˈɔːnɪŋ/
awol|/ˈeɪwɒl/
awry|/əˈraɪ/
axe|/æks/
axel|/ˈæksl/
axeman|/ˈæksmən/
axial|/ˈæksiəl/
axiom|/ˈæksiəm/
axiomatic|/ˌæksiəˈmætɪk/
axiomatically|/ˌæksiəˈmætɪkli/
axion|/ˈæksiən/
axis|/ˈæksɪs/
axle|/ˈæksl/
axman|/ˈæksmən/
axminster|/ˈæksmɪnstə(r)/
axon|/ˈæksɒn/
az|NA
azalea|/əˈzeɪliə/
azerbaijani|/ˌæzəbaɪˈdʒɑːni/
azimuth|/ˈæzɪməθ/
azoic|/eɪˈzəʊɪk/
azure|/ˈæʒə(r)/
b|/biː/
ba|/ˌbiː ˈeɪ/
baa|/bɑː/
baba|/ˈbɑːbɑː/
babby|/ˈbæbi/
babbitt|/ˈbæbɪt/
babble|/ˈbæbl/
babe|/beɪb/
babel|/ˈbeɪbl/
baby|/ˈbeɪbi/
babyhood|/ˈbeɪbihʊd/
babyish|/ˈbeɪbiɪʃ/
babysit|/ˈbeɪbisɪt/
babysitter|/ˈbeɪbisɪtə(r)/
babysitting|/ˈbeɪbisɪtɪŋ/
baboon|/bəˈbuːn/
babu|/ˈbɑːbuː/
babushka|/bəˈbʊʃkə/
baccalaureate|/ˌbækəˈlɔːriət/
baccarat|/ˈbækərɑː/
bacchanalian|/ˌbækəˈneɪliən/
baccy|/ˈbæki/
bach|/bætʃ/
bachelor|/ˈbætʃələ(r)/
bachelorette|/ˌbætʃələˈret/
bachelorhood|/ˈbætʃələhʊd/
bacillus|/bəˈsɪləs/
back|/bæk/
backache|/ˈbækeɪk/
backbeat|/ˈbækbiːt/
backbencher|/ˌbækˈbentʃə(r)/
backbiting|/ˈbækbaɪtɪŋ/
backboard|/ˈbækbɔːd/
backbone|/ˈbækbəʊn/
backchat|/ˈbæktʃæt/
backcloth|/ˈbækklɒθ/
backcomb|/ˈbækkəʊm/
backcountry|/ˈbækkʌntri/
backcourt|/ˈbækkɔːt/
backdate|/ˌbækˈdeɪt/
backdrop|/ˈbækdrɒp/
backer|/ˈbækə(r)/
backfield|/ˈbækfiːld/
backfill|/ˈbækfɪl/
backfire|/ˌbækˈfaɪə(r)/
backflip|/ˈbækflɪp/
backgammon|/ˈbækɡæmən/
background|/ˈbækɡraʊnd/
backhand|/ˈbækhænd/
backhanded|/ˌbækˈhændɪd/
backhander|/ˈbækhændə(r)/
backhoe|/ˈbækhəʊ/
backyard|/ˌbækˈjɑːd/
backing|/ˈbækɪŋ/
backlash|/ˈbæklæʃ/
backless|/ˈbækləs/
backlist|/ˈbæklɪst/
backlit|/ˈbæklɪt/
backlog|/ˈbæklɒɡ/
backmost|/ˈbækməʊst/
backpack|/ˈbækpæk/
backpacker|/ˈbækpækə(r)/
backplane|/ˈbækpleɪn/
backrest|/ˈbækrest/
backscratching|/ˈbækskrætʃɪŋ/
backsheesh|/ˌbækˈʃiːʃ/
backshift|/ˈbækʃɪft/
backside|/ˈbæksaɪd/
backslapping|/ˈbækslæpɪŋ/
backslash|/ˈbækslæʃ/
backsliding|/ˈbækslaɪdɪŋ/
backspace|/ˈbækspeɪs/
backspin|/ˈbækspɪn/
backstage|/ˌbækˈsteɪdʒ/
backstairs|/ˈbæksteəz/
backstitch|/ˈbækstɪtʃ/
backstop|/ˈbækstɒp/
backstreet|/ˈbækstriːt/
backstroke|/ˈbækstrəʊk/
backswing|/ˈbækswɪŋ/
backtrack|/ˈbæktræk/
backup|/ˈbækʌp/
backward|/ˈbækwəd/
backwardness|/ˈbækwədnəs/
backwards|/ˈbækwədz/
backwash|/ˈbækwɒʃ/
backwater|/ˈbækwɔːtə(r)/
backwoods|/ˈbækwʊdz/
backwoodsman|/ˈbækwʊdzmən/
baclava|/ˈbɑːkləvə/
bacon|/ˈbeɪkən/
bacteria|/bækˈtɪəriə/
bacterial|/bækˈtɪəriəl/
bactericide|/bækˈtɪərɪsaɪd/
bacteriology|/bækˌtɪəriˈɒlədʒi/
bacteriological|/bækˌtɪəriəˈlɒdʒɪkl/
bacteriologist|/bækˌtɪəriˈɒlədʒɪst/
bad|/bæd/
badass|/ˈbædæs/
baddy|/ˈbædi/
badge|/bædʒ/
badger|/ˈbædʒə(r)/
badinage|/ˈbædɪnɑːʒ/
badlands|/ˈbædlændz/
badly|/ˈbædli/
badmash|/bʌdˈmɑːʃ/
badminton|/ˈbædmɪntən/
badness|/ˈbædnəs/
bae|/beɪ/
baffle|/ˈbæfl/
bafflement|/ˈbæflmənt/
baffling|/ˈbæflɪŋ/
bafta|/ˈbæftə/
bag|/bæɡ/
bagatelle|/ˌbæɡəˈtel/
bagel|/ˈbeɪɡl/
baggage|/ˈbæɡɪdʒ/
baggy|/ˈbæɡi/
bagh|/bɑːɡ/
bagpipe|/ˈbæɡpaɪp/
bagpipes|/ˈbæɡpaɪps/
baguette|/bæˈɡet/
bah|/bɑː/
bahadur|/ˌbɑːhəˈdʊə(r)/
bahamian|/bəˈheɪmiən/
bay|/beɪ/
bail|/beɪl/
bailey|/ˈbeɪli/
bailiff|/ˈbeɪlɪf/
bailiwick|/ˈbeɪliwɪk/
bailout|/ˈbeɪlaʊt/
bayonet|/ˈbeɪənət/
bayou|/ˈbaɪuː/
bairn|/beən/
bait|/beɪt/
baize|/beɪz/
bake|/beɪk/
bakehouse|/ˈbeɪkhaʊs/
baker|/ˈbeɪkə(r)/
bakery|/ˈbeɪkəri/
bakersfield|/ˈbeɪkəzfiːld/
bakeshop|/ˈbeɪkʃɒp/
bakeware|/ˈbeɪkweə(r)/
baking|/ˈbeɪkɪŋ/
baklava|/ˈbɑːkləvə/
baksheesh|/ˌbækˈʃiːʃ/
balaclava|/ˌbæləˈklɑːvə/
balalaika|/ˌbæləˈlaɪkə/
balance|/ˈbæləns/
balanced|/ˈbælənst/
balcony|/ˈbælkəni/
bald|/bɔːld/
balderdash|/ˈbɔːldədæʃ/
baldy|/ˈbɔːldi/
balding|/ˈbɔːldɪŋ/
baldly|/ˈbɔːldli/
baldness|/ˈbɔːldnəs/
bale|/beɪl/
baleful|/ˈbeɪlfl/
balefully|/ˈbeɪlfəli/
baler|/ˈbeɪlə(r)/
balk|/bɔːk/
balkan|/ˈbɔːlkən/
balkanization|/ˌbɔːlkənaɪˈzeɪʃn/
balkanize|/ˈbɔːlkənaɪz/
balky|/ˈbɔːlki/
ball|/bɔːl/
ballad|/ˈbæləd/
balladeer|/ˌbæləˈdɪə(r)/
ballast|/ˈbæləst/
ballerina|/ˌbæləˈriːnə/
ballet|/ˈbæleɪ/
balletic|/bæˈletɪk/
balletomane|/ˈbælɪtəʊmeɪn/
ballhawk|/ˈbɔːlhɔːk/
ballyhoo|/ˌbæliˈhuː/
ballistic|/bəˈlɪstɪk/
ballistics|/bəˈlɪstɪks/
balloon|/bəˈluːn/
balloonist|/bəˈluːnɪst/
ballot|/ˈbælət/
ballpark|/ˈbɔːlpɑːk/
ballplayer|/ˈbɔːlpleɪə(r)/
ballpoint|/ˈbɔːlpɔɪnt/
ballroom|/ˈbɔːlruːm/
balls|/bɔːlz/
ballsy|/ˈbɔːlzi/
balm|/bɑːm/
balmy|/ˈbɑːmi/
balmoral|/bælˈmɒrəl/
baloney|/bəˈləʊni/
balsa|/ˈbɔːlsə/
balsam|/ˈbɔːlsəm/
balti|/ˈbɔːlti/
baltic|/ˈbɔːltɪk/
baltimore|/ˈbɔːltɪmɔː(r)/
baluchi|/bəˈluːtʃi/
baluster|/ˈbæləstə(r)/
balustrade|/ˌbæləˈstreɪd/
bam|/bæm/
bamboo|/ˌbæmˈbuː/
bamboozle|/bæmˈbuːzl/
ban|/bæn/
banal|/bəˈnɑːl/
banality|/bəˈnæləti/
banana|/bəˈnɑːnə/
banbury|/ˈbænbəri/
band|/bænd/
bandage|/ˈbændɪdʒ/
bandana|/bænˈdænə/
bandeau|/ˈbændəʊ/
bandh|/bɑːnd/
bandy|/ˈbændi/
bandicoot|/ˈbændɪkuːt/
banding|/ˈbændɪŋ/
bandit|/ˈbændɪt/
banditry|/ˈbændɪtri/
bandleader|/ˈbændliːdə(r)/
bandmaster|/ˈbændmɑːstə(r)/
bandolier|/ˌbændəˈlɪə(r)/
bandsaw|/ˈbændsɔː/
bandsman|/ˈbændzmən/
bandstand|/ˈbændstænd/
bandwagon|/ˈbændwæɡən/
bandwidth|/ˈbændwɪdθ/
bane|/beɪn/
baneful|/ˈbeɪnfl/
bang|/bæŋ/
banger|/ˈbæŋə(r)/
bangladesh|/ˌbæŋɡləˈdeʃ/
bangle|/ˈbæŋɡl/
bania|/ˈbʌnjə/
banyan|/ˈbænjən/
banish|/ˈbænɪʃ/
banishment|/ˈbænɪʃmənt/
banister|/ˈbænɪstə(r)/
banjo|/ˈbændʒəʊ/
bank|/bæŋk/
bankable|/ˈbæŋkəbl/
banker|/ˈbæŋkə(r)/
banking|/ˈbæŋkɪŋ/
banknote|/ˈbæŋknəʊt/
bankroll|/ˈbæŋkrəʊl/
bankrupt|/ˈbæŋkrʌpt/
bankruptcy|/ˈbæŋkrʌptsi/
bankside|/ˈbæŋksaɪd/
banner|/ˈbænə(r)/
bannister|/ˈbænɪstə(r)/
banns|/bænz/
banquet|/ˈbæŋkwɪt/
banqueting|/ˈbæŋkwɪtɪŋ/
banquette|/bæŋˈket/
banshee|/ˈbænʃiː/
bantam|/ˈbæntəm/
bantamweight|/ˈbæntəmweɪt/
banter|/ˈbæntə(r)/
bantering|/ˈbæntərɪŋ/
bantu|/ˈbæntuː/
baobab|/ˈbeɪəʊbæb/
bap|/bæp/
baptism|/ˈbæptɪzəm/
baptismal|/bæpˈtɪzməl/
baptist|/ˈbæptɪst/
baptize|/bæpˈtaɪz/
bar|/bɑː(r)/
baraza|/bəˈrɑːzə/
barb|/bɑːb/
barbadian|/bɑːˈbeɪdiən/
barbados|/bɑːˈbeɪdɒs/
barbara|/ˌbɑːbrə ˈkɑːtlənd/
barbarian|/bɑːˈbeəriən/
barbaric|/bɑːˈbærɪk/
barbarically|/bɑːˈbærɪkli/
barbarism|/ˈbɑːbərɪzəm/
barbarity|/bɑːˈbærəti/
barbarous|/ˈbɑːbərəs/
barbarously|/ˈbɑːbərəsli/
barbecue|/ˈbɑːbɪkjuː/
barbed|/bɑːbd/
barbell|/ˈbɑːbel/
barber|/ˈbɑːbə(r)/
barbershop|/ˈbɑːbəʃɒp/
barbiturate|/bɑːˈbɪtʃərət/
bard|/bɑːd/
bare|/beə(r)/
bareback|/ˈbeəbæk/
barefaced|/ˈbeəfeɪst/
barefoot|/ˈbeəfʊt/
barehanded|/ˌbeəˈhændɪd/
bareheaded|/ˌbeəˈhedɪd/
barely|/ˈbeəli/
bareness|/ˈbeənəs/
barf|/bɑːf/
barfly|/ˈbɑːflaɪ/
bargain|/ˈbɑːɡən/
bargaining|/ˈbɑːɡənɪŋ/
barge|/bɑːdʒ/
bargeboard|/ˈbɑːdʒbɔːd/
bargee|/bɑːˈdʒiː/
bargepole|/ˈbɑːdʒpəʊl/
baritone|/ˈbærɪtəʊn/
barium|/ˈbeəriəm/
bark|/bɑːk/
barker|/ˈbɑːkə(r)/
barley|/ˈbɑːli/
barmaid|/ˈbɑːmeɪd/
barman|/ˈbɑːmən/
barmy|/ˈbɑːmi/
barn|/bɑːn/
barnacle|/ˈbɑːnəkl/
barney|/ˈbɑːni/
barnyard|/ˈbɑːnjɑːd/
barnstorm|/ˈbɑːnstɔːm/
barnstorming|/ˈbɑːnstɔːmɪŋ/
barograph|/ˈbærəɡrɑːf/
barometer|/bəˈrɒmɪtə(r)/
barometric|/ˌbærəˈmetrɪk/
baron|/ˈbærən/
baroness|/ˈbærənəs/
baronet|/ˈbærənət/
baronetcy|/ˈbærənətsi/
barony|/ˈbærəni/
baronial|/bəˈrəʊniəl/
baroque|/bəˈrɒk/
barque|/bɑːk/
barrack|/ˈbærək/
barracking|/ˈbærəkɪŋ/
barracks|/ˈbærəks/
barracouta|/ˌbærəˈkuːtə/
barracuda|/ˌbærəˈkjuːdə/
barrage|/ˈbærɑːʒ/
barramundi|/ˌbærəˈmʌndi/
barrel|/ˈbærəl/
barren|/ˈbærən/
barrenness|/ˈbærənnəs/
barrette|/bəˈret/
barry|/ˈbæri/
barricade|/ˈbærɪkeɪd/
barrier|/ˈbæriə(r)/
barring|/ˈbɑːrɪŋ/
barrio|/ˈbæriəʊ/
barrister|/ˈbærɪstə(r)/
barroom|/ˈbɑːruːm/
barrow|/ˈbærəʊ/
bart|/bɑːt/
bartender|/ˈbɑːtendə(r)/
barter|/ˈbɑːtə(r)/
bas|/bʌs/
basal|/ˈbeɪsl/
basalt|/ˈbæsɔːlt/
base|/beɪs/
baseball|/ˈbeɪsbɔːl/
baseboard|/ˈbeɪsbɔːd/
based|/beɪst/
baseless|/ˈbeɪsləs/
basely|/ˈbeɪsli/
baseline|/ˈbeɪslaɪn/
baseman|/ˈbeɪsmən/
basement|/ˈbeɪsmənt/
bash|/bæʃ/
bashful|/ˈbæʃfl/
bashfully|/ˈbæʃfəli/
bashfulness|/ˈbæʃflnəs/
bashing|/ˈbæʃɪŋ/
basic|/ˈbeɪsɪk/
basically|/ˈbeɪsɪkli/
basics|/ˈbeɪsɪks/
basil|/ˈbæzl/
basilect|/ˈbæsɪlekt/
basilica|/bəˈzɪlɪkə/
basilisk|/ˈbæzɪlɪsk/
basin|/ˈbeɪsn/
basis|/ˈbeɪsɪs/
bask|/bɑːsk/
basket|/ˈbɑːskɪt/
basketball|/ˈbɑːskɪtbɔːl/
basketry|/ˈbɑːskɪtri/
basketwork|/ˈbɑːskɪtwɜːk/
basotho|/bəˈsuːtuː/
basque|/bæsk/
bass|/beɪs/
basset|/ˈbæsɪt/
bassinet|/ˌbæsɪˈnet/
bassist|/ˈbeɪsɪst/
bassoon|/bəˈsuːn/
bassoonist|/bəˈsuːnɪst/
bastard|/ˈbɑːstəd/
bastardize|/ˈbɑːstədaɪz/
baste|/beɪst/
bastion|/ˈbæstiən/
bat|/bæt/
batboy|/ˈbætbɔɪ/
batch|/bætʃ/
bated|/ˈbeɪtɪd/
bath|/bɑːθ/
bathe|/beɪð/
bathed|/beɪðd/
bather|/ˈbeɪðə(r)/
bathhouse|/ˈbɑːθhaʊs/
bathing|/ˈbeɪðɪŋ/
bathysphere|/ˈbæθɪsfɪə(r)/
bathos|/ˈbeɪθɒs/
bathrobe|/ˈbɑːθrəʊb/
bathroom|/ˈbɑːθruːm/
bathtub|/ˈbɑːθtʌb/
bathwater|/ˈbɑːθwɔːtə(r)/
batik|/bəˈtiːk/
batman|/ˈbætmən/
baton|/ˈbætɒn/
batsman|/ˈbætsmən/
battalion|/bəˈtæliən/
batten|/ˈbætn/
batter|/ˈbætə(r)/
battered|/ˈbætəd/
battery|/ˈbætri/
battering|/ˈbætərɪŋ/
batty|/ˈbæti/
battle|/ˈbætl/
battlefield|/ˈbætlfiːld/
battleground|/ˈbætlɡraʊnd/
battlements|/ˈbætlmənts/
battleship|/ˈbætlʃɪp/
bauble|/ˈbɔːbl/
baud|/bɔːd/
baulk|/bɔːk/
bauxite|/ˈbɔːksaɪt/
bawd|/bɔːd/
bawdy|/ˈbɔːdi/
bawl|/bɔːl/
bazaar|/bəˈzɑː(r)/
bazooka|/bəˈzuːkə/
be|/bi/
bea|/biː/
beach|/biːtʃ/
beachcomber|/ˈbiːtʃkəʊmə(r)/
beachfront|/ˈbiːtʃfrʌnt/
beachhead|/ˈbiːtʃhed/
beachwear|/ˈbiːtʃweə(r)/
beacon|/ˈbiːkən/
bead|/biːd/
beaded|/ˈbiːdɪd/
beady|/ˈbiːdi/
beading|/ˈbiːdɪŋ/
beagle|/ˈbiːɡl/
beak|/biːk/
beaked|/biːkt/
beaker|/ˈbiːkə(r)/
beam|/biːm/
beamed|/biːmd/
bean|/biːn/
beanbag|/ˈbiːnbæɡ/
beanfeast|/ˈbiːnfiːst/
beanie|/ˈbiːni/
beano|/ˈbiːnəʊ/
beanpole|/ˈbiːnpəʊl/
beanstalk|/ˈbiːnstɔːk/
bear|/beə(r)/
bearable|/ˈbeərəbl/
beard|/bɪəd/
bearded|/ˈbɪədɪd/
beardy|/ˈbɪədi/
bearer|/ˈbeərə(r)/
bearing|/ˈbeərɪŋ/
bearish|/ˈbeərɪʃ/
bearskin|/ˈbeəskɪn/
beast|/biːst/
beastly|/ˈbiːstli/
beastliness|/ˈbiːstlinəs/
beat|/biːt/
beater|/ˈbiːtə(r)/
beatify|/biˈætɪfaɪ/
beatific|/ˌbiːəˈtɪfɪk/
beatification|/biˌætɪfɪˈkeɪʃn/
beating|/ˈbiːtɪŋ/
beatnik|/ˈbiːtnɪk/
beatrice|/ˈbɪətrɪs/
beau|/bəʊ/
beaucoup|/ˈbəʊkuː/
beaujolais|/ˈbəʊʒəleɪ/
beaut|/bjuːt/
beauteous|/ˈbjuːtiəs/
beauty|/ˈbjuːti/
beautician|/bjuːˈtɪʃn/
